cbsa,geoid,msa,STATE,January_2021_LaborForce,January_2021_URate,NUMBER_AIRPORTS,AIRPORT,CODE,NS_DOMESTIC,NS_INTERNATIONAL,NS_TOTAL,Avg. Local Sales Tax,State Sales Tax,Total Sales Tax,Property Tax per Capita,Property Tax Rank,Property Tax Throw Back,Taxable Wages Rate,New Employers Rate,Taxable Wage Base,Payroll Tax Notes,Individual Tax Rate,Individual Tax Brackets,Graduated Individual Tax,Franchise Tax Rate,Corporate Tax Rate,Corporate Tax Brackets,Graduated Corporate Tax,STATE_CODB,Fortune 500,Fortune 1000,HOUSING_PERMITS1,HOUSING_PERMITS2,PERMIT_CHANGE,SCORE,TOTPOP_CY,TOTPOP_FY,POP_ANNUAL_GROWTH,MEDAGE_CY,MEDHHINC_CY,HOME_VALUE,COLLEGE_DEGREE,DIV_INDEX,URBAN_AREA,COMP_INDEX,GROCERY,HOUSING,UTILITIES,TRANSPORTATION,HEALTH_CARE,MISC,APT_RENT,PHYSICAL_SCIENCES_ENROLLMENT,BIO_LIFE_ENROLLMENT,BUSINESS_MGMT_ENROLLMENT,EDUCATION_ENROLLMENT,ENGINEERING_ENROLLMENT,LAW_ENROLLMENT,MEDICINE_ENROLLMENT,ENROLLMENT,COMPLETIONS,NUMBER_OF_COLLEGES,MSA_CODB,UNIT_LABOR_COST,ENERGY_COST,STATE_LOCAL_TAX,OFFICE_RENT,JAN_RAIN,JAN_SNOW,JAN_TEMP_MAX,JAN_TEMP_MIN,JULY_RAIN,JULY_SNOW,JULY_TEMP_MAX,JULY_TEMP_MIN,geometry
11180,1911180,"Ames, IA",IA,54188.0,3.0,0,None,None,0,0,0,0.94,6.0,6.94,1632.0,17.0,No,0.013,0.0,30600.0,26,8.53,9.0,Yes,No entity-level tax measured by net worth/capital value.,12.0,4.0,Yes,91.0,0.0,1.0,273.0,66.0,-0.758,84.0,127950.0,132572.0,0.71,30.0,55920.0,183440.0,0.455,30.2,Ames IA,99.4,100.2,98.8,91.4,103.4,100.0,100.7,1055.0,695.0,1938.0,4666.0,1821.0,8988.0,0.0,0.0,38155.0,8968.0,2.0,85.0,83.0,106.0,96.0,62.0,0.9,5.1,28.0,10.0,4.9,0.0,84.0,63.0,POINT (2.161039863393487 3.382608693597452)
11260,0211260,"Anchorage, AK",AK,199611.0,6.5,1,Anchorage,ANC,38,3,41,1.76,0.0,1.76,2120.0,10.0,Yes,1.00 - 5.40%,1.09,41500.0,,0.0,1.0,No,No entity-level tax measured by net worth/capital value.,9.4,10.0,Yes,115.0,0.0,0.0,938.0,879.0,-0.063,85.0,415233.0,423275.0,0.38,35.0,79293.0,302697.0,0.329,61.2,Anchorage AK,124.4,128.5,133.0,127.6,110.7,147.7,115.4,1257.0,192.0,570.0,2640.0,783.0,922.0,0.0,0.0,24627.0,2305.0,5.0,111.0,98.0,166.0,86.0,82.0,1.7,17.5,20.0,6.0,2.4,0.0,66.0,49.0,POINT (-16.50294044817952 -10.13599580366216)
11460,2611460,"Ann Arbor, MI",MI,190057.0,4.8,0,None,None,0,0,0,0.0,6.0,6.0,1416.0,28.0,No,0.06 - 10.30%,2.7,9000.0,,4.25,1.0,No,"""Financial institutions: 0.29% of net capital.""",6.0,1.0,No,106.0,0.0,1.0,652.0,331.0,-0.492,100.0,370787.0,381607.0,0.58,35.0,74375.0,274499.0,0.57,50.6,,,,,,,,,,1184.0,3287.0,7672.0,4101.0,8281.0,1001.0,841.0,93107.0,20442.0,7.0,96.0,105.0,97.0,103.0,69.0,2.3,13.2,31.0,17.0,3.4,0.0,83.0,61.0,POINT (9.380272801953588 4.149979595539274)
11500,0111500,"Anniston-Oxford, AL",AL,46374.0,4.5,0,None,None,0,0,0,5.22,4.0,9.22,582.0,50.0,Yes,0.65 - 6.80%,2.7,8000.0,Includes 0.06% employment security assessment,5.0,3.0,Yes,"""Business privilege tax imposed at following graduated rates based on taxable net worth: $0-$0.999: $0.25 per $1,000 net worth $1-$199,999: $1.00 per $1,000 net worth $200,000-$499,999: $1.25 per $1,000 $500,000-$2,499,999: $1.50 per $1,000 net worth $2.5 million or more: $1.75 per $1,000 net worth. $100 minimum tax; $15,000 maximum tax.""",6.5,1.0,No,100.0,0.0,0.0,66.0,72.0,0.091,,116592.0,115051.0,-0.27,40.0,48593.0,124618.0,0.187,46.5,Anniston-Calhoun County AL,83.4,87.4,59.4,126.6,87.5,81.5,88.5,669.0,70.0,446.0,991.0,1025.0,0.0,0.0,0.0,,,,96.0,109.0,106.0,67.0,62.0,4.5,0.7,54.0,33.0,4.6,0.0,90.0,70.0,POINT (8.843611723471552 -4.521255974483495)
11540,5511540,"Appleton, WI",WI,129942.0,3.6,0,None,None,0,0,0,0.46,5.0,5.46,1655.0,14.0,Yes,0.00- 12.00%,,14000.0,Includes solvency surtax,7.65,4.0,Yes,No entity-level tax measured by net worth/capital value.,7.9,1.0,No,101.0,0.0,0.0,781.0,338.0,-0.567,78.0,242496.0,251575.0,0.74,39.0,66906.0,184684.0,0.294,27.0,,,,,,,,,,48.0,119.0,29.0,28.0,0.0,0.0,0.0,19876.0,1596.0,3.0,90.0,102.0,88.0,108.0,59.0,1.2,10.9,25.0,9.0,3.8,0.0,81.0,60.0,POINT (5.902377448629212 5.836697906888628)
11700,3711700,"Asheville, NC",NC,227074.0,5.5,0,None,None,0,0,0,2.22,4.75,6.97,974.0,41.0,No,0.06 - 5.76%,1.0,25200.0,,5.25,1.0,No,"$1.50 per $1,000 of greatest of net worth; actual investment in tangible property; or 55% of appraised value of real/tangible property. Minimum tax of $200.",2.5,1.0,No,92.0,0.0,1.0,2233.0,1976.0,-0.115,,485182.0,515952.0,1.24,45.0,54049.0,232791.0,0.371,32.8,Asheville NC,105.7,97.9,116.5,105.6,103.2,116.0,99.5,1283.0,147.0,364.0,640.0,311.0,78.0,0.0,0.0,22894.0,3104.0,11.0,85.0,95.0,84.0,86.0,65.0,3.8,3.8,46.0,25.0,4.3,0.0,83.0,62.0,POINT (11.16016670855773 -2.37934369732098)
12020,1312020,"Athens-Clarke County, GA",GA,97843.0,4.2,0,None,None,0,0,0,3.31,4.0,7.31,1161.0,33.0,No,0.04 - 7.56%,2.7,9500.0,Includes 0.06% administrative assessment except lowest and highest rates,5.75,6.0,Yes,"Graduated tax from minimum of $125 to maximum of $5,000 on net worth exceeding $100,000.",5.75,1.0,No,94.0,0.0,0.0,729.0,753.0,0.033,33.0,217110.0,228382.0,1.02,32.0,51126.0,207989.0,0.403,56.5,,,,,,,,,,777.0,3700.0,7778.0,2687.0,1293.0,599.0,0.0,49073.0,11189.0,3.0,87.0,101.0,87.0,80.0,57.0,4.3,0.6,53.0,31.0,4.6,0.0,90.0,69.0,POINT (10.95955374737549 -4.085472244541688)
12060,1312060,"Atlanta-Sandy Springs-Roswell, GA",GA,3061960.0,5.1,1,Atlanta,ATL,163,76,239,3.31,4.0,7.31,1161.0,33.0,No,0.04 - 7.56%,2.7,9500.0,Includes 0.06% administrative assessment except lowest and highest rates,5.75,6.0,Yes,"Graduated tax from minimum of $125 to maximum of $5,000 on net worth exceeding $100,000.",5.75,1.0,No,94.0,16.0,30.0,26506.0,26166.0,-0.013,100.0,6049686.0,6488557.0,1.41,37.0,70630.0,235337.0,0.398,69.3,Atlanta GA,101.1,105.0,102.8,84.7,102.0,102.0,102.3,1245.0,3432.0,11422.0,33008.0,10045.0,15782.0,1964.0,1191.0,318472.0,44558.0,62.0,90.0,94.0,87.0,80.0,84.0,4.5,0.7,52.0,30.0,4.9,0.0,89.0,68.0,POINT (10.02269429655476 -4.465529055592095)
12100,3412100,"Atlantic City-Hammonton, NJ",NJ,115049.0,12.5,0,None,None,0,0,0,-0.03,6.63,6.6,3276.0,2.0,No,0.40 - 5.40%,2.8,35300.0,Includes Workforce Dev/Supplemental Workforce,10.75,7.0,Yes,No entity-level tax measured by net worth/capital value.,10.5,4.0,Yes,115.0,0.0,0.0,349.0,363.0,0.04,,274207.0,271152.0,-0.22,41.0,62892.0,233808.0,0.298,70.8,,,,,,,,,,176.0,821.0,1356.0,293.0,0.0,0.0,0.0,19201.0,2981.0,2.0,112.0,120.0,137.0,109.0,66.0,3.4,4.9,42.0,23.0,4.0,0.0,86.0,65.0,POINT (16.66606437347453 2.602751103462023)
12220,0112220,"Auburn-Opelika, AL",AL,76610.0,3.2,0,None,None,0,0,0,5.22,4.0,9.22,582.0,50.0,Yes,0.65 - 6.80%,2.7,8000.0,Includes 0.06% employment security assessment,5.0,3.0,Yes,"""Business privilege tax imposed at following graduated rates based on taxable net worth: $0-$0.999: $0.25 per $1,000 net worth $1-$199,999: $1.00 per $1,000 net worth $200,000-$499,999: $1.25 per $1,000 $500,000-$2,499,999: $1.50 per $1,000 net worth $2.5 million or more: $1.75 per $1,000 net worth. $100 minimum tax; $15,000 maximum tax.""",6.5,1.0,No,100.0,0.0,0.0,1036.0,1129.0,0.09,4.0,163271.0,175002.0,1.4,32.0,48988.0,182936.0,0.351,51.3,Auburn-Opelika AL,94.8,104.4,77.3,104.0,91.6,98.2,102.7,830.0,373.0,1029.0,4580.0,2529.0,5765.0,0.0,0.0,32442.0,7263.0,2.0,90.0,105.0,106.0,67.0,46.0,4.8,0.3,56.0,33.0,5.2,0.0,90.0,70.0,POINT (9.36118246444085 -5.644953362692172)
12260,1312260,"Augusta-Richmond County, GA-SC",GA,,,0,None,None,0,0,0,3.31,4.0,7.31,1161.0,33.0,No,0.04 - 7.56%,2.7,9500.0,Includes 0.06% administrative assessment except lowest and highest rates,5.75,6.0,Yes,"Graduated tax from minimum of $125 to maximum of $5,000 on net worth exceeding $100,000.",5.75,1.0,No,94.0,0.0,0.0,2584.0,2599.0,0.006,,625458.0,657905.0,1.02,38.0,53886.0,169894.0,0.27,60.3,,,,,,,,,,309.0,1313.0,1599.0,1067.0,0.0,0.0,922.0,24775.0,3339.0,7.0,86.0,98.0,87.0,83.0,56.0,4.2,0.3,56.0,33.0,4.6,0.0,92.0,70.0,POINT (12.0351410589399 -4.428260398006198)
12420,4812420,"Austin-Round Rock-Georgetown, TX",TX,1258589.0,5.4,0,Austin,AUS,55,8,63,1.94,6.25,8.19,1872.0,13.0,,0.31 - 6.31%,2.7,9000.0,,0.0,1.0,No,"Revised franchise tax, otherwise known as margin tax, on total revenues.",0.0,1.0,No,92.0,1.0,2.0,17030.0,18145.0,0.065,100.0,2296794.0,2610839.0,2.6,34.0,78659.0,293890.0,0.455,73.6,Austin TX,101.8,92.2,109.8,95.0,89.6,108.6,103.2,1530.0,2553.0,7487.0,13958.0,3174.0,8485.0,1069.0,0.0,176444.0,30450.0,25.0,100.0,91.0,99.0,80.0,126.0,2.3,0.2,61.0,38.0,2.1,0.0,95.0,72.0,POINT (-0.96285903579153 -8.456973893163543)
12540,0612540,"Bakersfield, CA",CA,381232.0,10.8,0,None,None,0,0,0,1.41,7.25,8.66,1607.0,20.0,Yes,1.50 - 6.20%,3.4,7000.0,Plus 0.1% employment training tax assessed on most employers,13.3,10.0,Yes,No entity-level tax measured by net worth/capital value.,8.84,1.0,No,112.0,0.0,0.0,2073.0,1705.0,-0.178,60.0,905189.0,938629.0,0.73,32.0,52884.0,239265.0,0.172,84.0,Bakersfield CA,106.6,101.6,85.6,167.6,129.0,107.4,103.3,1059.0,231.0,839.0,1305.0,726.0,513.0,0.0,0.0,72008.0,7208.0,7.0,135.0,113.0,210.0,97.0,105.0,1.6,0.6,56.0,34.0,0.1,0.0,96.0,65.0,POINT (-17.74017690286849 -1.203438924324744)
12580,2412580,"Baltimore-Columbia-Towson, MD",MD,1442987.0,6.0,1,Baltimore,BWI,76,12,88,0.0,6.0,6.0,1623.0,18.0,No,0.30 - 7.50%,2.6,8500.0,,5.75,8.0,Yes,No entity-level tax measured by net worth/capital value.,8.25,1.0,No,102.0,0.0,8.0,5361.0,4798.0,-0.105,100.0,2840181.0,2896944.0,0.4,40.0,81221.0,317424.0,0.415,62.4,Baltimore MD,109.6,112.8,121.9,105.4,101.1,83.7,105.2,1644.0,1908.0,7922.0,11954.0,9667.0,7658.0,1584.0,1108.0,212650.0,37745.0,38.0,107.0,101.0,128.0,90.0,102.0,3.2,7.4,42.0,24.0,4.1,0.0,88.0,66.0,POINT (15.26703843381615 2.129352788862713)
70750,,"Bangor, ME",ME,67824.0,5.9,0,None,None,0,0,0,0.0,5.5,5.5,2138.0,9.0,No,0.06 - 5.46%,1.92,12000.0,Includes 0.06% competitive skills scholarship fund rate,7.15,3.0,Yes,No entity-level tax measured by net worth/capital value.,8.93,4.0,Yes,110.0,0.0,0.0,228.0,113.0,-0.504,59.0,157144.0,159029.0,0.24,42.0,49392.0,153826.0,0.279,13.6,,,,,,,,,,302.0,741.0,1849.0,1284.0,1479.0,0.0,0.0,20688.0,3468.0,5.0,111.0,110.0,159.0,123.0,53.0,3.1,20.9,26.0,5.0,3.5,0.0,79.0,57.0,POINT (19.398757 9.442169)
70900,,"Barnstable Town, MA",MA,117993.0,9.6,0,None,None,0,0,0,0.0,6.25,6.25,2434.0,6.0,Yes,0.94 - 14.37%,2.42,15000.0,Plus 0.58% solvency assessment and 0.056% workforce training fund surcharge,5.0,1.0,No,"Taxable net worth or tangible property is part of overall excise tax calculation that is based on the greater of the net worth or tangible property basis plus the income tax basis, or the minimum tax.",8.0,1.0,No,118.0,0.0,0.0,518.0,56.0,-0.892,,225934.0,227031.0,0.1,53.0,70064.0,449053.0,0.454,24.5,,,,,,,,,,0.0,0.0,389.0,0.0,745.0,0.0,0.0,6430.0,844.0,2.0,123.0,109.0,202.0,97.0,66.0,3.7,6.0,38.0,23.0,3.0,0.0,77.0,63.0,POINT (19.302108 5.658815)
12940,2212940,"Baton Rouge, LA",LA,416629.0,6.7,0,None,None,0,0,0,5.07,4.45,9.52,901.0,44.0,No,0.09 - 6.20%,,7700.0,Includes applicable social charge assessments,6.0,3.0,Yes,"$1.50 per $1,000 of first $300,000 and $3.00 per $1,000 of amount which exceeds $300,000 of corporation's issued and outstanding capital stock, surplus, and undivided profits.",8.0,5.0,Yes,92.0,0.0,0.0,3509.0,3569.0,0.017,36.0,887125.0,913408.0,0.59,36.0,57068.0,189177.0,0.282,57.1,Baton Rouge LA,96.9,97.6,92.8,76.9,94.3,103.0,104.9,1144.0,907.0,2661.0,6570.0,3274.0,5913.0,1239.0,0.0,62213.0,9725.0,13.0,84.0,93.0,76.0,64.0,77.0,5.5,0.0,61.0,40.0,5.0,0.0,91.0,72.0,POINT (4.650717650532333 -8.109938514791414)
12980,2612980,"Battle Creek, MI",MI,60659.0,7.7,0,None,None,0,0,0,0.0,6.0,6.0,1416.0,28.0,No,0.06 - 10.30%,2.7,9000.0,,4.25,1.0,No,"""Financial institutions: 0.29% of net capital.""",6.0,1.0,No,106.0,1.0,1.0,54.0,3.0,-0.944,,134221.0,133174.0,-0.16,41.0,49165.0,117146.0,0.225,42.8,,,,,,,,,,67.0,140.0,186.0,70.0,0.0,0.0,0.0,8771.0,1012.0,3.0,99.0,101.0,118.0,103.0,69.0,1.7,14.4,32.0,16.0,3.4,0.0,83.0,59.0,POINT (8.529573573573474 4.039337024454613)
13020,2613020,"Bay City, MI",MI,48689.0,7.8,0,None,None,0,0,0,0.0,6.0,6.0,1416.0,28.0,No,0.06 - 10.30%,2.7,9000.0,,4.25,1.0,No,"""Financial institutions: 0.29% of net capital.""",6.0,1.0,No,106.0,0.0,0.0,85.0,13.0,-0.847,,105799.0,104157.0,-0.31,44.0,51532.0,123401.0,0.202,22.8,,,,,,,,,,113.0,397.0,1337.0,1345.0,496.0,0.0,0.0,10930.0,993.0,2.0,104.0,112.0,118.0,103.0,68.0,1.6,12.0,30.0,16.0,2.5,0.0,82.0,62.0,POINT (9.118315516808275 5.599505686910193)
13140,4813140,"Beaumont-Port Arthur, TX",TX,171724.0,11.6,0,None,None,0,0,0,1.94,6.25,8.19,1872.0,13.0,,0.31 - 6.31%,2.7,9000.0,,0.0,1.0,No,"Revised franchise tax, otherwise known as margin tax, on total revenues.",0.0,1.0,No,92.0,0.0,0.0,1200.0,601.0,-0.499,,404337.0,410502.0,0.3,38.0,51978.0,140384.0,0.191,68.0,Beaumont TX,96.2,95.4,95.3,98.0,95.9,94.4,97.0,1030.0,233.0,438.0,1376.0,2065.0,1990.0,0.0,0.0,29679.0,4829.0,5.0,87.0,103.0,73.0,80.0,71.0,4.9,0.0,61.0,40.0,5.4,0.0,92.0,73.0,POINT (2.018187561183906 -8.639040674735966)
13220,5413220,"Beckley, WV",WV,45836.0,7.9,0,None,None,0,0,0,0.41,6.0,6.41,948.0,42.0,No,1.50 - 8.50%,2.7,12000.0,,6.5,5.0,Yes,No entity-level tax measured by net worth/capital value.,6.5,1.0,No,94.0,0.0,0.0,86.0,72.0,-0.163,,124419.0,121337.0,-0.5,44.0,39472.0,103796.0,0.189,21.3,,,,,,,,,,5.0,40.0,79.0,153.0,272.0,0.0,0.0,3993.0,364.0,3.0,89.0,104.0,89.0,100.0,54.0,3.0,15.6,39.0,21.0,5.1,0.0,80.0,60.0,POINT (12.01105250733666 0.100265474770098)
13380,5313380,"Bellingham, WA",WA,109711.0,7.1,0,None,None,0,0,0,2.71,6.5,9.21,1498.0,26.0,,0.13 - 7.73%,,52700.0,Includes employment administrative fund and social cost surtaxes,0.0,1.0,No,No entity-level tax measured by net worth/capital value.,0.0,1.0,No,96.0,0.0,0.0,767.0,779.0,0.016,65.0,231845.0,248276.0,1.38,38.0,62003.0,392960.0,0.363,44.4,Bellingham WA,120.0,111.1,129.4,86.4,127.1,116.5,123.7,1391.0,448.0,527.0,1031.0,1008.0,249.0,0.0,0.0,27960.0,5482.0,5.0,95.0,99.0,107.0,89.0,74.0,8.6,7.6,42.0,32.0,1.5,0.0,75.0,53.0,POINT (-16.55721305758211 12.38644010085147)
13460,4113460,"Bend-Redmond, OR",OR,100329.0,7.9,0,None,None,0,0,0,0.0,0.0,0.0,1487.0,27.0,Yes,0.70 - 5.40%,2.1,42100.0,Includes special payroll tax offset: 0.09%,9.9,4.0,Yes,No entity-level tax measured by net worth/capital value.,7.6,2.0,Yes,102.0,0.0,0.0,1818.0,1488.0,-0.182,61.0,195263.0,215906.0,2.03,43.0,68656.0,416184.0,0.36,30.3,,,,,,,,,,0.0,71.0,122.0,119.0,66.0,0.0,0.0,,,,95.0,104.0,96.0,92.0,76.0,1.6,9.0,40.0,21.0,0.6,0.0,83.0,46.0,POINT (-17.42860958664739 7.619262674521597)
